entity_from,relationship_type,relationship_sub_type,entity_to
Horizon Group Inc,Director,Managing Director,Synergy Manufacturing Inc
Gamma Ventures Pte Ltd,Ownership,Minor,Crest Health BV
Quantum Investments GmbH,Ownership,Controlling,Titan Holdings Co.
Elite Health Co Ltd,Subsidiary,51% Owned,Asia Solutions GmbH
Beta Group BV,Shareholder,Institutional,Vantage Solutions Co.
Catalyst Ecommerce PLC,Director,Non-Executive,Asia Assets Pt
Global Ventures Inc,Ownership,Major,Nexus Finance Sdn Bhd
Titan Group GmbH,Ownership,Minor,Synergy Holdings Inc
Apex Capital LLC,Ownership,Significant,Horizon Tech GmbH
Titan Health Inc,Director,Non-Executive,Crest Media Pte Ltd
Stellar Ecommerce Ltd,Ownership,Direct,Fusion Resources SARL (ID)
Omega Digital Inc,Ownership,Direct,Alpha Ecommerce PLC
Vertex Solutions LLC,Ownership,Indirect,Horizon Health Enterprises
Elite Digital PLC,Director,Managing Director,Nexus Health SARL (ID)
Orion Investments Berhad,Subsidiary,51% Owned,Vantage Ventures Corp
Synergy Solutions Ltd,Ownership,Direct,Elite Assets GmbH (BVI)
Global Capital Limited,Ownership,Major,Asia Infra Co Ltd
Global Finance Ltd,Director,Managing Director,Elite Media BV
Catalyst Pay Limited,Ownership,Indirect,Asia Solutions LLC
Asia Solutions Pte Ltd,Director,CEO,Summit Systems International
Gamma Health Pte Ltd,Investor,Private Equity,Global Manufacturing Ltd (HK)
Crest Investments Berhad,Investor,Private Equity,Delta Ecommerce LLC (KY)
Nova Solutions Corp,Subsidiary,75% Owned,Fusion Energy Corp
Pinnacle Solutions Co Ltd,Subsidiary,100% Owned,Prime Systems Ltd (SG)
Fusion Assets PLC,Ownership,Significant,Vertex Media Co Ltd
Nexus Solutions Co.,Ownership,Major,Fusion Finance Co Ltd
Orion Pay Enterprises,Ownership,Direct,Alpha Tech International
Synergy Infra International,Subsidiary,75% Owned,Summit Solutions Pt
Orion Partners Inc,Shareholder,Institutional,Gamma Systems LLC (TH)
Fusion Solutions International,Ownership,Significant,Victory Systems Enterprises
Beta Pay Pte Ltd,Subsidiary,100% Owned,Apex Investments SARL
Delta Solutions BV,Ownership,Controlling,Elite Ventures Co Ltd (HK)
Titan Pay Pte Ltd,Subsidiary,60% Owned,Stellar Holdings Sdn Bhd (ID)
Quantum Partners SARL,Ownership,Minor,Gamma Tech Co Ltd
Victory Group Berhad,Ownership,Controlling,Delta Resources PLC
Tan Sri Lim,Director,Chairman,Fusion Digital Inc (KY)
Delta Tech SARL,Ownership,Direct,Fusion Group Sdn Bhd (KY)
Victory Group Co.,Subsidiary,75% Owned,Atlas Ventures Pte Ltd
Nexus Health Pt,Subsidiary,75% Owned,Pacific Media PLC
Pacific Logistics Pt,Investor,Venture Capital,Crest Investments GmbH (ID)
Summit Holdings SARL,Ownership,Direct,Stellar Digital BV
Global Tech Inc,Shareholder,Minor,Beta Energy LLC (SG)
Asia Logistics Ltd,Shareholder,Institutional,Victory Tech Ltd
Orion Resources International,Ownership,Controlling,Pacific Holdings Ltd (TH)
Delta Holdings Co Ltd,Shareholder,Institutional,Nexus Properties GmbH (MY)
Gamma Holdings Co.,Shareholder,Minor,Atlas Manufacturing Enterprises
Titan Systems SARL,Ownership,Controlling,Vertex Holdings Inc
Delta Solutions Berhad,Subsidiary,90% Owned,Global Ecommerce Berhad
Pinnacle Manufacturing International,Shareholder,Institutional,Alpha Solutions Pte Ltd
Vertex Investments Limited,Subsidiary,60% Owned,Summit Assets Co Ltd
Vertex Solutions Enterprises,Ownership,Controlling,Stellar Holdings Pte Ltd
Global Logistics Inc,Ownership,Indirect,Gamma Media Berhad
Crest Tech Co.,Ownership,Significant,Quantum Capital Co. (KY)
Delta Finance GmbH,Ownership,Indirect,Titan Manufacturing Inc
Prime Ecommerce Limited,Ownership,Minor,Nova Systems International
Nova Resources Limited,Ownership,Major,Nexus Media LLC
Vertex Energy PLC,Subsidiary,51% Owned,Pinnacle Capital International
Titan Energy Sdn Bhd,Investor,Series B,Synergy Capital Limited (ID)
Global Ventures Inc,Shareholder,Institutional,Atlas Manufacturing Pte Ltd
Catalyst Logistics Inc,Ownership,Controlling,Crest Manufacturing Corp
Orion Holdings Co Ltd,Investor,Venture Capital,Elite Ventures Corp (SG)
Summit Systems SARL,Ownership,Direct,Zenith Properties Limited (ID)
Atlas Resources Berhad,Shareholder,Minor,Atlas Investments Inc (KY)
Sigma Tech Pte Ltd,Ownership,Minor,Omega Systems Inc
Zenith Tech Co.,Subsidiary,60% Owned,Fusion Capital GmbH
Global Partners Pt,Subsidiary,60% Owned,Prime Ventures Inc
Asia Solutions International,Shareholder,Institutional,Summit Manufacturing Corp (ID)
Victory Systems GmbH,Investor,Series C,Zenith Pay SARL (ID)
Quantum Investments Berhad,Ownership,Significant,Stellar Investments Ltd
Asia Tech International,Ownership,Controlling,Synergy Infra Co Ltd
Nova Infra Pt,Ownership,Minor,Synergy Capital SARL (MY)
Quantum Systems Berhad,Ownership,Indirect,Victory Holdings Inc
Catalyst Group Berhad,Ownership,Indirect,Pacific Infra LLC
Victory Partners Co Ltd,Ownership,Indirect,Asia Logistics Corp (TH)
Vantage Health PLC,Subsidiary,85% Owned,Nova Manufacturing International
Alpha Tech SARL,Director,CEO,Vantage Infra Co.
Zenith Partners LLC,Subsidiary,60% Owned,Stellar Tech PLC
Summit Ecommerce SARL,Ownership,Direct,Titan Ecommerce International
Victory Infra Enterprises,Shareholder,Major,Sigma Group Co Ltd
Apex Pay LLC,Ownership,Minor,Sigma Logistics GmbH
Vantage Media Pte Ltd,Subsidiary,100% Owned,Titan Partners Sdn Bhd
Gamma Pay Berhad,Subsidiary,60% Owned,Synergy Infra Co.
Apex Health GmbH,Ownership,Indirect,Alpha Solutions Co Ltd
Omega Finance Sdn Bhd,Director,Chairman,Crest Pay SARL (TH)
Orion Resources Co.,Ownership,Controlling,Pacific Systems Corp
Ms. Chen,Director,Non-Executive,Fusion Pay Enterprises
Vertex Finance Berhad,Investor,Private Equity,Nexus Partners Sdn Bhd
Omega Assets Berhad,Subsidiary,60% Owned,Elite Digital Pt (TH)
Quantum Energy GmbH,Ownership,Controlling,Quantum Manufacturing SARL
Zenith Media Pte Ltd,Ownership,Direct,Pacific Solutions Berhad (TH)
Pacific Energy Co.,Ownership,Direct,Summit Assets PLC
Pinnacle Pay Co Ltd,Director,CFO,Atlas Investments Co.
Pinnacle Group Co.,Subsidiary,75% Owned,Omega Digital Pt
Nova Finance LLC,Subsidiary,51% Owned,Titan Logistics Corp
Gamma Assets Inc,Ownership,Major,Catalyst Manufacturing Limited
Asia Energy Berhad,Director,Managing Director,Beta Resources PLC
Orion Capital Pte Ltd,Director,Executive Director,Beta Manufacturing Co Ltd (TH)
Tan Sri Lim,Director,Chairman,Sigma Resources Berhad (MY)
Horizon Capital Berhad,Ownership,Significant,Zenith Investments SARL (TH)
Crest Manufacturing Pt,Subsidiary,85% Owned,Prime Capital SARL (KY)
Vertex Investments GmbH,Ownership,Minor,Quantum Tech Co Ltd (ID)
Beta Investments Ltd,Subsidiary,51% Owned,Sigma Holdings Co.
Prime Group International,Shareholder,Institutional,Vertex Manufacturing International (ID)
Nova Media PLC,Ownership,Major,Omega Energy Pte Ltd
Orion Partners Sdn Bhd,Subsidiary,85% Owned,Atlas Solutions Sdn Bhd (KY)
Synergy Digital Corp,Ownership,Minor,Delta Capital Co Ltd
Synergy Finance Corp,Shareholder,Major,Synergy Ecommerce LLC
Pinnacle Pay Enterprises,Director,Chairman,Pacific Group Pte Ltd (TH)
Sigma Manufacturing Sdn Bhd,Investor,Series A,Alpha Pay Co Ltd
Global Partners Pte Ltd,Shareholder,Institutional,Elite Digital BV
Fusion Holdings LLC,Ownership,Significant,Victory Holdings International
Zenith Partners Berhad,Ownership,Direct,Horizon Media Berhad (SG)
Victory Logistics Pte Ltd,Ownership,Indirect,Stellar Ecommerce Co. (MY)
Horizon Group Berhad,Ownership,Indirect,Sigma Manufacturing Berhad
Nova Manufacturing Inc,Investor,Angel,Quantum Finance LLC (HK)
Stellar Ecommerce Enterprises,Ownership,Major,Asia Finance Limited
Quantum Systems Ltd,Ownership,Indirect,Pinnacle Media SARL
Nova Digital Corp,Subsidiary,75% Owned,Orion Pay Pte Ltd
Summit Group Pte Ltd,Ownership,Minor,Orion Pay Co. (SG)
Beta Holdings SARL,Subsidiary,75% Owned,Omega Pay LLC
Nova Health Enterprises,Ownership,Significant,Fusion Holdings SARL
Atlas Resources PLC,Ownership,Controlling,Pacific Holdings Enterprises (MY)
Apex Manufacturing International,Ownership,Major,Global Solutions GmbH (SG)
Gamma Ventures Berhad,Subsidiary,75% Owned,Prime Pay Pt (HK)
Titan Solutions Co Ltd,Ownership,Major,Synergy Properties Co. (HK)
Synergy Energy LLC,Director,Chairman,Synergy Solutions Co Ltd
Pacific Finance SARL,Ownership,Significant,Delta Pay SARL
Asia Holdings PLC,Shareholder,Minor,Stellar Manufacturing LLC (TH)
Vantage Ecommerce Pte Ltd,Director,Non-Executive,Beta Properties Berhad (KY)
Delta Properties Pt,Ownership,Indirect,Gamma Solutions Co.
Sigma Energy Enterprises,Subsidiary,75% Owned,Fusion Investments Berhad (KY)
Nova Manufacturing LLC,Ownership,Controlling,Sigma Media Limited (ID)
Ms. Chen,Director,Managing Director,Summit Media Corp
Titan Tech BV,Ownership,Direct,Pacific Assets LLC
Pacific Investments International,Ownership,Controlling,Nova Capital International
Asia Infra Ltd,Ownership,Significant,Quantum Pay Ltd (TH)
Synergy Solutions PLC,Ownership,Indirect,Horizon Media Ltd (MY)
Atlas Tech Limited,Ownership,Significant,Sigma Assets Pt
Omega Tech BV,Ownership,Controlling,Orion Manufacturing Pt (KY)
Titan Assets Inc,Ownership,Indirect,Delta Assets Pte Ltd
Zenith Ventures GmbH,Ownership,Direct,Fusion Group BV
Orion Properties Pt,Ownership,Indirect,Atlas Ecommerce Berhad
Nexus Group Pte Ltd,Ownership,Controlling,Asia Pay Ltd (BVI)
Nexus Group GmbH,Ownership,Major,Pacific Resources Pte Ltd
Stellar Resources BV,Ownership,Significant,Sigma Capital Pt
Alpha Properties BV,Subsidiary,51% Owned,Beta Pay LLC
Synergy Ventures Co Ltd,Ownership,Minor,Synergy Logistics PLC
Horizon Pay International,Ownership,Indirect,Catalyst Tech Corp
Victory Solutions Enterprises,Subsidiary,60% Owned,Alpha Tech PLC
Synergy Resources Berhad,Ownership,Major,Orion Manufacturing PLC (ID)
Zenith Group Pte Ltd,Director,CEO,Omega Investments SARL
Asia Holdings Pte Ltd,Ownership,Indirect,Vertex Health Co.
Zenith Solutions LLC,Ownership,Indirect,Omega Pay Limited
Gamma Investments SARL,Ownership,Significant,Atlas Pay PLC
Vertex Assets Pte Ltd,Investor,Series A,Apex Resources SARL
Global Resources International,Subsidiary,90% Owned,Gamma Holdings PLC (MY)
Nova Ventures SARL,Ownership,Major,Global Investments PLC (BVI)
Global Partners Co.,Subsidiary,85% Owned,Vantage Infra Sdn Bhd
Gamma Digital Limited,Subsidiary,90% Owned,Victory Assets Sdn Bhd (HK)
Beta Properties Corp,Director,CTO,Victory Tech Pte Ltd
Synergy Systems Enterprises,Ownership,Minor,Omega Properties Berhad
Vertex Media GmbH,Ownership,Significant,Crest Energy Limited
Asia Properties LLC,Ownership,Major,Summit Group Enterprises (SG)
Orion Digital GmbH,Ownership,Controlling,Delta Digital GmbH (KY)
Vantage Infra Co.,Subsidiary,75% Owned,Stellar Health Limited
Asia Holdings Limited,Ownership,Indirect,Synergy Properties BV (BVI)
Sigma Digital LLC,Investor,Venture Capital,Delta Properties Co Ltd
Horizon Partners Limited,Subsidiary,60% Owned,Global Assets LLC
Beta Logistics Co.,Subsidiary,100% Owned,Victory Logistics Pt
Omega Investments GmbH,Subsidiary,85% Owned,Apex Infra Co. (KY)
Zenith Logistics LLC,Subsidiary,100% Owned,Zenith Capital International (SG)
Orion Systems Berhad,Subsidiary,90% Owned,Pinnacle Systems SARL
Orion Health Pt,Ownership,Indirect,Delta Solutions Ltd (MY)
Fusion Health SARL,Ownership,Minor,Omega Infra Co Ltd
Nova Capital Pt,Subsidiary,85% Owned,Beta Media Limited
Synergy Partners Corp,Subsidiary,51% Owned,Catalyst Assets SARL
Beta Solutions Ltd,Director,CEO,Crest Assets Berhad
Apex Health Inc,Shareholder,Institutional,Global Properties Ltd
Alpha Capital Co.,Subsidiary,75% Owned,Delta Solutions Limited
Omega Finance Enterprises,Director,CEO,Summit Media LLC (TH)
Horizon Health SARL,Ownership,Controlling,Omega Ecommerce International
Crest Tech Ltd,Subsidiary,90% Owned,Apex Energy Pt (BVI)
Prime Properties Berhad,Ownership,Minor,Crest Ventures Pte Ltd (TH)
Asia Properties Enterprises,Ownership,Significant,Global Manufacturing Limited
Synergy Solutions Pte Ltd,Subsidiary,51% Owned,Pacific Holdings Enterprises (HK)
Alpha Solutions Pte Ltd,Investor,Private Equity,Pacific Ventures SARL (MY)
Stellar Partners Ltd,Director,Managing Director,Summit Ventures PLC
Sigma Media Enterprises,Ownership,Significant,Prime Properties Co Ltd
Elite Systems Corp,Ownership,Major,Alpha Logistics Pte Ltd
Orion Holdings International,Ownership,Minor,Elite Pay LLC
Titan Holdings International,Shareholder,Institutional,Atlas Resources Corp
Vantage Infra Berhad,Ownership,Direct,Atlas Group Berhad (HK)
Synergy Infra Pte Ltd,Subsidiary,60% Owned,Omega Properties International
Atlas Manufacturing Sdn Bhd,Subsidiary,75% Owned,Synergy Resources GmbH
Omega Manufacturing Corp,Investor,Series A,Sigma Health BV
Nova Manufacturing LLC,Ownership,Major,Apex Resources Corp
Catalyst Logistics Pt,Ownership,Direct,Vantage Infra Enterprises
Orion Assets Ltd,Ownership,Direct,Vertex Media Corp (KY)
Quantum Finance Co Ltd,Ownership,Direct,Vantage Resources Sdn Bhd
Quantum Health LLC,Ownership,Significant,Victory Assets Pt (BVI)
Sigma Ventures Enterprises,Ownership,Direct,Nova Health Pt
Pinnacle Solutions Pte Ltd,Investor,Angel,Victory Group GmbH
Omega Holdings PLC,Ownership,Direct,Alpha Assets PLC
Pinnacle Manufacturing LLC,Ownership,Minor,Victory Capital Berhad
Omega Partners Pte Ltd,Ownership,Major,Quantum Energy Sdn Bhd
Pinnacle Holdings Co Ltd,Subsidiary,51% Owned,Pinnacle Partners GmbH
Synergy Finance Co.,Subsidiary,51% Owned,Horizon Energy Co.
Vertex Ventures Co.,Subsidiary,51% Owned,Delta Capital Enterprises
Global Digital Ltd,Subsidiary,90% Owned,Synergy Capital Inc (SG)
Apex Health BV,Subsidiary,51% Owned,Fusion Partners Berhad
Horizon Group PLC,Ownership,Major,Sigma Investments Inc (BVI)
Titan Manufacturing Limited,Ownership,Significant,Asia Partners Inc (KY)
Asia Infra Pt,Subsidiary,75% Owned,Nova Capital Enterprises (SG)
Nova Investments PLC,Shareholder,Institutional,Delta Logistics Inc
Omega Tech Inc,Subsidiary,100% Owned,Beta Infra Co Ltd (KY)
Horizon Health Berhad,Subsidiary,100% Owned,Pacific Tech PLC
Vertex Partners Enterprises,Shareholder,Institutional,Catalyst Resources Co.
Synergy Media Limited,Subsidiary,75% Owned,Vertex Systems Inc
Vertex Group Corp,Ownership,Indirect,Alpha Energy Enterprises
Alpha Logistics Corp,Ownership,Minor,Victory Capital Pt (MY)
Nexus Investments GmbH,Ownership,Major,Apex Finance LLC (HK)
Horizon Media Limited,Ownership,Major,Pacific Ecommerce Pt
Global Ecommerce Pte Ltd,Ownership,Minor,Nova Resources Enterprises
Nova Partners Inc,Investor,Venture Capital,Elite Energy International
Quantum Investments Sdn Bhd,Ownership,Significant,Orion Media Inc (MY)
Vantage Infra International,Ownership,Major,Asia Investments Limited
Summit Holdings SARL,Ownership,Indirect,Beta Investments Limited
Elite Infra Corp,Subsidiary,85% Owned,Crest Health Corp (TH)
Nova Energy GmbH,Ownership,Indirect,Vantage Partners International
Elite Group Enterprises,Ownership,Major,Synergy Finance GmbH
Sigma Group Pt,Subsidiary,85% Owned,Victory Finance Berhad
Zenith Resources LLC,Shareholder,Major,Global Digital Limited (TH)
Vantage Capital Berhad,Subsidiary,60% Owned,Beta Holdings Pt (TH)
Victory Capital Sdn Bhd,Subsidiary,90% Owned,Delta Assets Pt
Titan Media Co Ltd,Ownership,Minor,Atlas Logistics Co.
Victory Tech Inc,Ownership,Direct,Quantum Holdings Enterprises (BVI)
Atlas Infra Pt,Ownership,Major,Prime Tech Co Ltd
Atlas Manufacturing Sdn Bhd,Subsidiary,85% Owned,Omega Solutions Co Ltd
Elite Capital LLC,Ownership,Significant,Sigma Tech Pt
Zenith Properties Corp,Ownership,Direct,Pinnacle Assets Inc
Vertex Investments Pt,Ownership,Minor,Beta Health Pt
Pinnacle Group Corp,Subsidiary,51% Owned,Quantum Digital Ltd
Victory Group Corp,Ownership,Minor,Fusion Manufacturing Inc (BVI)
Vertex Manufacturing Co.,Ownership,Direct,Fusion Group Co Ltd (TH)
Prime Finance BV,Director,Non-Executive,Horizon Ecommerce PLC (SG)
Fusion Digital International,Ownership,Indirect,Gamma Health GmbH
Pacific Media Inc,Ownership,Minor,Nexus Infra BV (BVI)
Horizon Media Co Ltd,Director,Independent Director,Nexus Pay Inc
Quantum Ventures Co Ltd,Shareholder,Major,Global Holdings SARL (MY)
Apex Logistics Co Ltd,Subsidiary,85% Owned,Victory Ecommerce Enterprises (HK)
Fusion Systems International,Shareholder,Institutional,Quantum Partners Co. (TH)
Asia Tech Pte Ltd,Ownership,Significant,Apex Properties Sdn Bhd (KY)
Synergy Assets International,Ownership,Controlling,Gamma Tech Enterprises
Elite Digital LLC,Ownership,Minor,Beta Digital Berhad
Nexus Manufacturing Enterprises,Subsidiary,51% Owned,Nexus Finance LLC
Horizon Finance Limited,Ownership,Controlling,Pacific Systems Inc
Nova Resources PLC,Ownership,Major,Alpha Media SARL
Zenith Holdings SARL,Subsidiary,90% Owned,Horizon Investments BV
Omega Infra Berhad,Director,CEO,Catalyst Media PLC (KY)
Vertex Properties International,Ownership,Controlling,Prime Resources Limited
Pinnacle Infra Corp,Subsidiary,75% Owned,Apex Assets Inc (KY)
Prime Properties Corp,Subsidiary,60% Owned,Pinnacle Finance Co.
Victory Partners Corp,Ownership,Major,Delta Ecommerce Corp
Horizon Manufacturing Corp,Director,Managing Director,Zenith Partners International
Stellar Manufacturing Pt,Shareholder,Major,Nova Ecommerce Inc (BVI)
Atlas Logistics Enterprises,Investor,Private Equity,Alpha Group PLC
Nexus Infra PLC,Shareholder,Minor,Pinnacle Systems Co.
Horizon Investments Berhad,Subsidiary,75% Owned,Catalyst Investments International (TH)
Alpha Media Limited,Ownership,Minor,Vertex Pay Sdn Bhd (KY)
Beta Investments Pte Ltd,Ownership,Indirect,Global Properties Co. (ID)
Pinnacle Solutions Enterprises,Ownership,Controlling,Sigma Energy Corp
Pinnacle Partners SARL,Subsidiary,75% Owned,Delta Logistics Berhad
Asia Media Berhad,Ownership,Major,Asia Manufacturing Enterprises (KY)
Dato' Rahman,Director,Independent Director,Fusion Pay Berhad (KY)
Atlas Energy Enterprises,Ownership,Direct,Nova Energy Limited (HK)
Nexus Holdings GmbH,Ownership,Minor,Vertex Infra SARL (ID)
Global Infra Co.,Subsidiary,51% Owned,Atlas Energy Inc
Delta Group PLC,Ownership,Significant,Prime Energy Inc
Zenith Pay Ltd,Ownership,Controlling,Elite Systems SARL (KY)
Omega Finance Co Ltd,Subsidiary,75% Owned,Nexus Ventures Co.
Synergy Capital Ltd,Ownership,Major,Nova Tech Sdn Bhd
Delta Properties Pte Ltd,Ownership,Minor,Global Solutions Co Ltd (KY)
Vertex Pay GmbH,Ownership,Indirect,Prime Media Enterprises
Quantum Tech Corp,Subsidiary,75% Owned,Elite Ventures GmbH (SG)
Synergy Ecommerce Sdn Bhd,Ownership,Direct,Asia Capital Pte Ltd
Elite Infra BV,Subsidiary,51% Owned,Nova Energy Pte Ltd
Summit Capital BV,Shareholder,Minor,Catalyst Assets Pt
Stellar Manufacturing Ltd,Ownership,Indirect,Horizon Digital Corp (MY)
Stellar Ecommerce PLC,Shareholder,Institutional,Horizon Capital International
Gamma Group Sdn Bhd,Director,Non-Executive,Global Investments BV
Atlas Assets Sdn Bhd,Ownership,Significant,Catalyst Assets Enterprises
Catalyst Resources BV,Director,Chairman,Stellar Finance Berhad (KY)
Vertex Pay BV,Subsidiary,75% Owned,Pinnacle Properties Sdn Bhd
Apex Properties Sdn Bhd,Ownership,Indirect,Nova Capital Co.
Global Properties Co Ltd,Shareholder,Major,Fusion Resources Sdn Bhd
Elite Capital Limited,Director,Independent Director,Orion Assets Pte Ltd
Stellar Assets Co Ltd,Ownership,Controlling,Nova Pay Pt
Zenith Capital Co.,Subsidiary,100% Owned,Stellar Systems Inc
Global Media Pte Ltd,Ownership,Significant,Gamma Media SARL
Elite Tech Berhad,Ownership,Major,Fusion Solutions SARL
Catalyst Holdings GmbH,Ownership,Direct,Asia Tech Ltd
Apex Solutions Inc,Ownership,Significant,Victory Capital Enterprises
Delta Ventures GmbH,Ownership,Significant,Global Tech PLC (KY)
Alpha Partners LLC,Ownership,Major,Zenith Capital International (HK)
Vantage Properties PLC,Ownership,Direct,Gamma Ventures Co.
Elite Holdings Pt,Subsidiary,51% Owned,Zenith Ventures Enterprises (SG)
Titan Tech Enterprises,Ownership,Direct,Stellar Manufacturing PLC
Alpha Investments Limited,Investor,Series B,Quantum Holdings SARL
Apex Infra PLC,Subsidiary,85% Owned,Sigma Properties Co Ltd
Vantage Manufacturing Ltd,Ownership,Controlling,Zenith Ventures GmbH
Asia Finance Co Ltd,Director,Chairman,Crest Finance Enterprises
Synergy Investments PLC,Subsidiary,90% Owned,Pinnacle Group Inc
Orion Media Enterprises,Subsidiary,90% Owned,Prime Health Enterprises
Zenith Group GmbH,Investor,Series C,Prime Logistics Co.
Titan Health Enterprises,Ownership,Minor,Global Capital Sdn Bhd
Pinnacle Systems Berhad,Shareholder,Institutional,Synergy Finance GmbH
Horizon Resources Co.,Ownership,Minor,Quantum Media Berhad (BVI)
Summit Assets Ltd,Ownership,Major,Sigma Health BV
Prime Media Sdn Bhd,Ownership,Indirect,Horizon Holdings Pt
Horizon Health Ltd,Subsidiary,85% Owned,Titan Energy Sdn Bhd
Asia Media PLC,Subsidiary,90% Owned,Stellar Holdings Co Ltd
Titan Logistics Pte Ltd,Subsidiary,60% Owned,Synergy Resources Enterprises
Quantum Systems PLC,Subsidiary,51% Owned,Apex Investments Inc (KY)
Crest Holdings Berhad,Investor,Series C,Vantage Partners Co.
Elite Solutions Enterprises,Ownership,Minor,Vertex Solutions Berhad
Pacific Resources BV,Investor,Series A,Summit Media Co.
Gamma Energy Pte Ltd,Investor,Private Equity,Victory Systems Pte Ltd
Horizon Group Berhad,Subsidiary,75% Owned,Gamma Tech International
Crest Health Co.,Subsidiary,85% Owned,Pinnacle Capital Inc
Fusion Group PLC,Ownership,Direct,Global Holdings GmbH
Alpha Ecommerce Co Ltd,Ownership,Indirect,Orion Infra BV
Vertex Group Limited,Shareholder,Major,Pinnacle Investments International (ID)
Asia Tech Inc,Shareholder,Major,Omega Tech Ltd (TH)
Quantum Group BV,Ownership,Major,Catalyst Systems Limited
Zenith Energy Pt,Investor,Angel,Beta Finance PLC (KY)
Pinnacle Media BV,Shareholder,Major,Asia Energy International
Delta Media Co Ltd,Shareholder,Institutional,Prime Health Co Ltd
Delta Finance Inc,Subsidiary,51% Owned,Beta Infra International
Summit Resources LLC,Subsidiary,85% Owned,Sigma Health Limited
Delta Logistics Enterprises,Ownership,Significant,Stellar Holdings Co.
Catalyst Resources Co Ltd,Ownership,Major,Horizon Resources Co.
Synergy Resources Corp,Director,Chairman,Pacific Systems Pte Ltd (SG)
Apex Finance Berhad,Ownership,Minor,Elite Logistics PLC
Apex Digital Co.,Ownership,Controlling,Atlas Pay SARL
Alpha Resources Ltd,Ownership,Controlling,Crest Ventures Inc
Atlas Ventures International,Shareholder,Minor,Gamma Partners Berhad
Stellar Ventures BV,Director,Chairman,Zenith Finance Pt
Prime Ecommerce PLC,Ownership,Minor,Apex Resources LLC
Catalyst Assets Co Ltd,Ownership,Indirect,Global Media PLC
Catalyst Finance SARL,Subsidiary,90% Owned,Orion Ventures Corp (HK)
Stellar Logistics Enterprises,Ownership,Major,Elite Properties Co Ltd
Titan Infra Inc,Ownership,Major,Victory Tech Enterprises
Quantum Energy Co Ltd,Shareholder,Minor,Summit Manufacturing Co.
Victory Investments Co.,Subsidiary,75% Owned,Elite Ecommerce Berhad
Beta Assets Inc,Subsidiary,51% Owned,Atlas Finance BV
Delta Manufacturing Berhad,Ownership,Significant,Asia Energy Berhad
Fusion Ecommerce Berhad,Subsidiary,51% Owned,Nexus Group Inc
Horizon Partners Ltd,Subsidiary,60% Owned,Apex Health International (SG)
Prime Holdings Limited,Subsidiary,75% Owned,Apex Pay Sdn Bhd (SG)
Elite Ventures Co Ltd,Investor,Series A,Catalyst Tech Inc (SG)
Nexus Investments Inc,Shareholder,Minor,Pinnacle Logistics SARL (HK)
Elite Properties Co.,Investor,Venture Capital,Stellar Group GmbH (MY)
Pacific Properties Co.,Ownership,Controlling,Gamma Energy Berhad
Nova Tech Inc,Ownership,Indirect,Atlas Partners Sdn Bhd
Atlas Ecommerce Inc,Shareholder,Minor,Elite Investments SARL
Vantage Capital Ltd,Subsidiary,60% Owned,Crest Investments Pt (BVI)
Stellar Holdings GmbH,Ownership,Indirect,Pacific Infra Berhad
Vantage Infra Pte Ltd,Ownership,Major,Asia Capital Co Ltd (HK)
Catalyst Systems Berhad,Ownership,Controlling,Pacific Solutions LLC
Victory Digital Co.,Subsidiary,75% Owned,Zenith Partners Co. (KY)
Titan Health Co Ltd,Subsidiary,60% Owned,Asia Holdings Limited
Vertex Digital BV,Ownership,Minor,Zenith Partners Berhad
Global Infra Sdn Bhd,Ownership,Indirect,Summit Resources Enterprises
Alpha Finance Pt,Ownership,Significant,Pacific Tech Pte Ltd
Orion Properties Co Ltd,Ownership,Controlling,Asia Ecommerce Co Ltd
Elite Assets Inc,Subsidiary,100% Owned,Orion Partners LLC (HK)
Vantage Manufacturing Corp,Subsidiary,100% Owned,Victory Holdings International
Summit Partners Inc,Ownership,Controlling,Crest Infra LLC
Nexus Properties Sdn Bhd,Ownership,Indirect,Atlas Digital Pt
Orion Properties Co Ltd,Shareholder,Institutional,Nova Pay Inc (TH)
Elite Ecommerce Pte Ltd,Ownership,Indirect,Stellar Ventures Co Ltd
Quantum Group Co.,Ownership,Controlling,Stellar Digital Pt
Titan Ventures Co.,Subsidiary,51% Owned,Prime Resources Corp
Vantage Investments Pte Ltd,Investor,Series B,Omega Assets SARL
Pacific Energy Sdn Bhd,Ownership,Minor,Pinnacle Properties Sdn Bhd
Crest Solutions Co.,Shareholder,Institutional,Stellar Health Co. (ID)
Zenith Properties Limited,Ownership,Indirect,Titan Ecommerce Enterprises
Alpha Finance Pt,Ownership,Direct,Synergy Logistics SARL (ID)
Elite Holdings International,Ownership,Significant,Pinnacle Pay Berhad (HK)
Atlas Resources Ltd,Ownership,Controlling,Elite Partners BV
Elite Health Limited,Shareholder,Major,Pinnacle Manufacturing Corp
Orion Logistics BV,Shareholder,Major,Vantage Media International
Pacific Assets BV,Ownership,Major,Quantum Holdings GmbH (TH)
Elite Solutions Pte Ltd,Director,CFO,Prime Ecommerce International (BVI)
Crest Systems Sdn Bhd,Ownership,Major,Catalyst Assets Pte Ltd
Delta Finance Co.,Subsidiary,85% Owned,Beta Media Co Ltd
Omega Infra Pte Ltd,Subsidiary,100% Owned,Nexus Digital Ltd (KY)
Alpha Assets Sdn Bhd,Ownership,Minor,Elite Finance Enterprises (MY)
Vertex Media PLC,Investor,Series C,Omega Ventures Pt (ID)
